primary_key,OUTPUT:answer1,OUTPUT:confidence1,OUTPUT:answer2,OUTPUT:confidence2,ai_dec,agreement1,agreement2,cw_acc1,cw_acc2,ground_truth,context
8c63156e101b7cd8cda28fdd9de6d605,1,2.0,1,5.0,1.0,1.0,1.0,1.0,1.0,1.0,recid
914675a6e7b0f389c168e7207cebc6d7,1,6.0,1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,recid
91a2786f8bb9c9055a2762fcc87356c9,0,5.0,0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,recid
91a96e03d75a8dc188b3c998353a0f2f,1,7.0,1,7.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
958c3715f0caad248f07df6550187b63,1,6.0,0,,0.0,0.0,0.5,0.0,0.5,0.0,recid
9a3f56b71ed73ad62bea4e64ac7f87ef,0,5.0,0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,recid
9deb12ef4cb08f2c572279ce22a141a4,1,6.0,1,6.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
9ecb6928e6cdd21e17d037ffdad05133,1,5.0,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
9faeb83256a15dd8a0a70c155ea093af,0,3.0,0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,recid
a5142f3e65e89f0d294e14c5bd09ac2f,1,6.0,0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,recid
ab86bb0a0d0dbcffa81fc0ff73cfca32,0,5.0,0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,recid
b298a5b1fd839d0b88675392bf6f1280,1,5.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
b38c16bccb07cd808a12c84c6398f4e3,1,6.0,1,6.0,1.0,1.0,1.0,0.0,0.0,0.0,recid
babef801ca5907be41e7ebb6e6ca1707,1,6.0,1,6.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
be85f2928df1008813594edfa4b5fda2,0,4.0,0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,recid
c20b7585acff02415ff7a08dc1a23340,1,3.0,1,3.0,1.0,1.0,1.0,0.0,0.0,0.0,recid
c25ebee8aea54a0c05e63599c1a79075,0,1.0,0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,recid
c2ec78869b58136bcfb3e86e19c0461c,1,6.0,1,,0.0,0.0,0.0,1.0,1.0,1.0,recid
c80123e03478f928411ebef8e5fb0896,1,5.0,1,5.0,1.0,1.0,1.0,1.0,1.0,1.0,recid
cb2db72ab42aa9721a2504b4a36c5e9c,1,1.0,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
dae6718d44ffe9f6a81d3ca86732c4ed,0,5.0,0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,recid
dd46b673a25963ad9e0cf150dc4e2391,1,6.0,1,4.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
e1681da1d2be01dab65409b5b4116d96,1,5.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
ef86ef980f479445337c44c63fb76ba4,1,6.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,recid
ef91435d6b09b195b1e91783064ef033,0,4.0,0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,recid
f44ca4f558f53047045d38a0596702c0,1,6.0,1,6.0,0.0,0.0,0.0,1.0,1.0,1.0,recid
f5092c54c2f97aef9fb5b44fd94d9fa6,0,5.0,1,5.0,1.0,0.0,1.0,1.0,0.0,0.0,recid
f64b8e629673eeca467646048b716bcb,0,6.0,0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,recid
ffdea5ab195189149c33f0dfad983307,0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,recid
