ASSIGNMENT:worker_id,INPUT:emp_title,OUTPUT:answer1,OUTPUT:confidence1,OUTPUT:excerpt1,OUTPUT:answer2,OUTPUT:confidence2,OUTPUT:excerpt2,ai_dec,agreement1,agreement2,cw_acc1,cw_acc2,ground_truth
3fb8aff27357faf9e2e8cae44af5a26f,Claims adjudicator,1.0,4.0,"""40,000 is relatively low compared to the loan amount of $16,000""",0.0,4.0,"""Human""",1,1.0,0.0,1.0,0.0,1.0
9ecb6928e6cdd21e17d037ffdad05133,Operational risk manager,0.0,5.0,"""the individual has a stable employment history as an operational risk manager for 10 years""",0.0,5.0,"""the person is expected to pay the loan on time""",0,1.0,1.0,0.0,0.0,1.0
be85f2928df1008813594edfa4b5fda2,Rehab manager,1.0,4.0,""" combination of a loan amount of $12,050 and an interest rate of 13.59% could lead to higher monthly payments""",1.0,4.0,"""Human""",0,0.0,0.0,1.0,1.0,1.0
b38c16bccb07cd808a12c84c6398f4e3,Welder,1.0,6.0,"""Firstly, despite having an annual income of $83,000 as a welder, the high debt-to-income ratio of 18.44 indicates a significant portion of their income is already allocated towards existing debt obligations. Additionally, with a total of 76 open credit lines out of 11 total credit lines, it suggests a high level of credit utilization and potential difficulty in managing multiple credit accounts effectively.""",1.0,6.0,"""Firstly, despite having an annual income of $83,000 as a welder, the high debt-to-income ratio of 18.44 indicates a significant portion of their income is already allocated towards existing debt obligations. Additionally, with a total of 76 open credit lines out of 11 total credit lines, it suggests a high level of credit utilization and potential difficulty in managing multiple credit accounts effectively.""",1,1.0,1.0,1.0,1.0,1.0
e30183cce33bcc953fc780cc1834e7f3,Medical assistant,1.0,5.0,""" Additionally, the high interest rate of 20% suggests a higher cost of borrowing, making it more challenging for the borrower to manage repayment. The debt-to-income ratio of 24.7% indicates a significant portion of the borrower's income is already allocated towards debt obligations""",1.0,5.0,"""The individual's annual income of $35,000 is relatively low compared to the requested loan amount of $20,000""",1,1.0,1.0,0.0,0.0,0.0
2dc9236036a0433f7287dbc35cbd4d20,Rehab manager,1.0,4.0,"""With a high debt-to-income ratio of 64.51, the person's income is already heavily committed to existing debt obligations, making it difficult to afford additional loan payments. The combination of a loan amount of $12,050 and an interest rate of 13.59% could lead to higher monthly payments, further straining their financial situation.""",1.0,4.0,"""With a high debt-to-income ratio of 64.51, the person's income is already heavily committed to existing debt obligations, making it difficult to afford additional loan payments. The combination of a loan amount of $12,050 and an interest rate of 13.59% could lead to higher monthly payments, further straining their financial situation.""",0,0.0,0.0,1.0,1.0,1.0
40794efb4a5333c7891f667a6ea00488,Rehab manager,0.0,4.0,"""the manageable loan amount of $12,050 """,0.0,4.0,"""Human""",0,1.0,1.0,0.0,0.0,1.0
75d3812541667057cd25f195885d05e7,Service technician,1.0,1.0,"""Based on the given information, the individual's debt-to-income ratio is 59.29%, which suggests a significant portion of their income is already allocated towards debt payments""",1.0,1.0,"""Based on the given information, the individual's debt-to-income ratio is 59.29%, which suggests a significant portion of their income is already allocated towards debt payments""",1,1.0,1.0,1.0,1.0,1.0
5d3e0cf99b88afb7fd1f33fa2dcff477,Operational risk manager,1.0,4.0,"""Furthermore, the relatively high interest rate of 26.77% on the loan amount of $5,000 may result in increased monthly payments that could strain their financial situation. Considering these factors, there is a possibility that the person may face challenges in paying off the loan.""",1.0,,"""Furthermore, the relatively high interest rate of 26.77% on the loan amount of $5,000 may result in increased monthly payments that could strain their financial situation. Considering these factors, there is a possibility that the person may face challenges in paying off the loan.""",0,0.0,0.0,1.0,1.0,1.0
bfabd4d670cee2cbec60ab2356d0e11f,Medical assistant,1.0,6.0,"""The debt-to-income ratio of 24.7% indicates a significant portion of the borrower's income is already allocated towards debt obligations.high interest rate of 20% suggests a higher cost of borrowing, making it more challenging for the borrower to manage repayment.  """,1.0,6.0,"""high interest rate of 20% suggests a higher cost of borrowing, making it more challenging for the borrower to manage repayment.""",1,1.0,1.0,0.0,0.0,0.0
088415ade86538b4f2ead4f7a341753c,Claims adjudicator,0.0,5.0,"""high credit limit""",0.0,4.0,"""incompetent""",1,0.0,0.0,0.0,0.0,1.0
c8f6d558a808777c49c35192f91ffb4a,Medical assistant,1.0,4.0,"""It seems to me that the annual salary is too small for such a loan, especially since we pay attention to the high percentage. It will be difficult to pay this amount to this person""",0.0,,"""It seems to me that the annual salary is too small for such a loan, especially since we pay attention to the high percentage. It will be difficult to pay this amount to this person""",1,1.0,0.0,0.0,1.0,0.0
ef89305c8a8eb302c314a18a5d534535,Project manager,1.0,1.0,"""Open credit lines: 14""",1.0,5.0,"""Open credit lines: 14""",0,0.0,0.0,0.0,0.0,0.0
5e0d15a9f26e60a4be169efa80f91ad3,Regional manager,0.0,4.0,"""reasonable earning capacity""",,4.0,"""AI""",0,1.0,0.0,1.0,0.0,0.0
3e22f87dd8e6d99a6c33a9d8cce233a2,Project manager,0.0,4.0,"""Based on the given information, the person holds a stable employment position as a project manager, indicating a steady income source.""",1.0,6.0,"""Based on the provided information, I would assign a low propbability of this person being able to repay the loan. Although the borrower holds the position of a project manager, their annual income of $64,000 may be insufficient to comfortably handle a loan amount of $30,000. Furthermore, the interest rate of 9.93% is relatively high, increasing the overall cost of borrowing. Given the loan purpose being credit card debt, it suggests a potential history of financial mismanagement.""",0,1.0,0.0,1.0,0.0,0.0
ebb536e2c01cf34eb0181e1fcb6d047d,Service technician,1.0,4.0,"""Based on the given information, the individual's debt-to-income ratio is 59.29%, which suggests a significant portion of their income is already allocated towards debt payments. Additionally, the loan purpose being debt consolidation indicates that they may already have existing debt obligations.""",1.0,5.0,"""Based on the given information, the individual's debt-to-income ratio is 59.29%, which suggests a significant portion of their income is already allocated towards debt payments. Additionally, the loan purpose being debt consolidation indicates that they may already have existing debt obligations.""",1,1.0,1.0,1.0,1.0,1.0
654e43452f1db02435498117826b88d9,Regional manager,0.0,4.0,"""With a low debt-to-income ratio of 7.57, it indicates that their current debt obligations are well within their means. Additionally, the purpose of the loan for a house suggests a long-term investment and a strong incentive to maintain timely paymentsWith limited open credit lines and a higher interest rate of 11.99%, they may face challenges in managing multiple credit accounts and making higher monthly payments. These factors indicate a potential difficulty for the person in repaying the loan""",0.0,4.0,"""With a low debt-to-income ratio of 7.57, it indicates that their current debt obligations are well within their means. Additionally, the purpose of the loan for a house suggests a long-term investment and a strong incentive to maintain timely paymentsWith limited open credit lines and a higher interest rate of 11.99%, they may face challenges in managing multiple credit accounts and making higher monthly payments. These factors indicate a potential difficulty for the person in repaying the loan""",0,1.0,1.0,1.0,1.0,0.0
4dfef8ee6d3e31818399c194d34fd00f,QC lead,1.0,4.0,"""Firstly, the relatively low annual income of $63,000 as a QC lead may limit their ability to comfortably meet the loan payments. Additionally, with a debt-to-income ratio of 15.3, a significant portion of their income is already allocated towards existing debt obligations, indicating a potential strain on their finances. """,1.0,4.0,"""Firstly, the relatively low annual income of $63,000 as a QC lead may limit their ability to comfortably meet the loan payments. Additionally, with a debt-to-income ratio of 15.3, a significant portion of their income is already allocated towards existing debt obligations, indicating a potential strain on their finances. """,1,1.0,1.0,0.0,0.0,0.0
33f2bddfcafd962afbf00a98c01e2aa2,QC lead,0.0,6.0,"""consistent income source, small compared""",0.0,5.0,"""consistent income source, small compared""",1,0.0,0.0,1.0,1.0,0.0
44d034a4c4a3a986bb263d4d4bf32af6,Service technician,0.0,5.0,"""Based on the given information, the individual's debt-to-income ratio is 59.29%, which suggests a significant portion of their income is already allocated towards debt payments.""",,5.0,"""Although their debt-to-income ratio is relatively high at 59.29%, the loan purpose being debt consolidation indicates an intention to manage their debts more efficiently.""",1,0.0,0.0,0.0,0.0,1.0
587681033b9490ef5c68ffdde95f2e0b,Sales,0.0,4.0,"""Their 8 open credit lines out of 11 indicate good credit availability and responsible credit management. Additionally, the relatively low total credit utilized and manageable loan amount for a major purchase suggest a conservative approach to borrowing. """,0.0,4.0,"""Their 8 open credit lines out of 11 indicate good credit availability and responsible credit management. Additionally, the relatively low total credit utilized and manageable loan amount for a major purchase suggest a conservative approach to borrowing. """,1,0.0,0.0,1.0,1.0,0.0
cb4318314d8fb387f403c75e8c62aef0,Supplies clerk,1.0,5.0,"""Despite having 10 years of employment as a supplies clerk, the relatively low annual income of $70,000 may limit their ability to meet the loan payments comfortably""",0.0,4.0,"""Despite having 10 years of employment as a supplies clerk, the relatively low annual income of $70,000 may limit their ability to meet the loan payments comfortably""",0,0.0,1.0,0.0,1.0,0.0
da88fed8770d41d80fbe28ffc35ccd62,Welder,0.0,6.0,"""significant amount of available credit, indicating their ability to handle larger financial obligations. """,0.0,6.0,"""the person is likely to pay the """,1,0.0,0.0,0.0,0.0,1.0
66b695f08ecfa8caa668cb0fd552519c,Sales,1.0,1.0,"""With a low debt-to-income ratio of 1.43 and a conservative approach to credit utilization, the person's current debt obligations are well within their means. """,1.0,1.0,"""With a low debt-to-income ratio of 1.43 and a conservative approach to credit utilization, the person's current debt obligations are well within their means. """,1,1.0,1.0,0.0,0.0,0.0
d8b503fbe044f3a06c5abbce94911812,Regional manager,0.0,4.0,"""stable income source, low debt-to-income ratio""",0.0,5.0,""" long-term investment and a strong incentive to maintain timely payments,low debt-to-income ratio""",0,1.0,1.0,1.0,1.0,0.0
d3d37d00ab688413d932b17833d41ee4,QC lead,0.0,1.0,"""fulfill their loan payments successfully""",0.0,1.0,"""fulfill their loan payments successfully""",1,0.0,0.0,1.0,1.0,0.0
273aee95dc0a07f731401aa44f03d486,Claims adjudicator,0.0,5.0,"""With an annual income of $40,000, their debt-to-income ratio of 19.44% suggests a reasonable level of financial stability. Additionally, the individual has a total of 26 credit lines and is utilizing only 45% of their total credit limit, which indicates responsible credit management. """,0.0,6.0,"""With an annual income of $40,000, their debt-to-income ratio of 19.44% suggests a reasonable level of financial stability. Additionally, the individual has a total of 26 credit lines and is utilizing only 45% of their total credit limit, which indicates responsible credit management.""",1,0.0,0.0,0.0,0.0,1.0
cb4318314d8fb387f403c75e8c62aef0,Sales,0.0,6.0,"""Additionally, the relatively low total credit utilized and manageable loan amount for a major purchase suggest a conservative approach to borrowing.""",0.0,5.0,"""Additionally, the relatively low total credit utilized and manageable loan amount for a major purchase suggest a conservative approach to borrowing.""",1,0.0,0.0,1.0,1.0,0.0
bded0bf866ae9589713ec4bcb74c37df,Supplies clerk,1.0,2.0,"""High risk high return if low risk low rerun""",0.0,1.0,"""High risk high return""",0,0.0,1.0,0.0,1.0,0.0
cb4318314d8fb387f403c75e8c62aef0,Project manager,1.0,3.0,"""These factors collectively support a favorable probability of the person being able to repay the loan.""",1.0,3.0,"""These factors collectively support a favorable probability of the person being able to repay the loan.""",0,0.0,0.0,0.0,0.0,0.0
66b695f08ecfa8caa668cb0fd552519c,Assistant district attorney,1.0,5.0,"""The annual income of $62,000 suggests a moderate income level, but the loan amount of $13,600 is significant relative to the income. """,1.0,4.0,"""The annual income of $62,000 suggests a moderate income level, but the loan amount of $13,600 is significant relative to the income. """,1,1.0,1.0,0.0,0.0,0.0
5eeab07530bf8daed6264bfb7ab5bf8c,General manager,0.0,2.0,"""Decision-maker 1: Low""",0.0,3.0,"""Decision-maker 1 was: Human""",1,0.0,0.0,1.0,1.0,0.0
5f34d7cca1707bfcd339bf7dee18633b,Project manager,1.0,6.0,"""Their annual income of $64,000 may be insufficient to comfortably handle a loan amount of $30,000. Given the loan purpose being credit card debt, it suggests a potential history of financial mismanagement.""",1.0,6.0,"""Given the loan purpose being credit card debt, it suggests a potential history of financial mismanagement.""",0,0.0,0.0,0.0,0.0,0.0
bdf9479198ff88cbba03a570acdb8db5,General manager,1.0,5.0,"""existing debt consolidation, a loan amount of $35,000, and a high interest rate of 22.9%.""",1.0,5.0,"""existing debt consolidation, a loan amount of $35,000, and a high interest rate of 22.9%.""",1,1.0,1.0,0.0,0.0,0.0
e080c4550f2194cd28040d3a0bd7066b,Counselor,1.0,4.0,"""Additionally, the individual's employment length of 2 years might be considered relatively short, which could indicate a potential lack of job stability.""",1.0,4.0,"""Additionally, the individual's employment length of 2 years might be considered relatively short, which could indicate a potential lack of job stability.""",0,0.0,0.0,1.0,1.0,1.0
702d0d8bdde69291b171d47c0d7de289,Claims adjudicator,0.0,5.0,"""With an annual income of $40,000, their debt-to-income ratio of 19.44% suggests a reasonable level of financial stability. Additionally, the individual has a total of 26 credit lines and is utilizing only 45% of their total credit limit, which indicates responsible credit management. """,0.0,5.0,""" With an annual income of $40,000, their debt-to-income ratio of 19.44% suggests a reasonable level of financial stability. Additionally, the individual has a total of 26 credit lines and is utilizing only 45% of their total credit limit, which indicates responsible credit management. """,1,0.0,0.0,0.0,0.0,1.0
8bbbf4be9dac7e64b47d077e846a95af,Claims adjudicator,1.0,7.0,"""However, their annual income of $40,000 is relatively low compared to the loan amount of $16,000, resulting in a high debt-to-income ratio of 19.44%. Additionally, the interest rate of 25.82% indicates a higher risk of repayment difficulty. """,1.0,7.0,"""However, their annual income of $40,000 is relatively low compared to the loan amount of $16,000, resulting in a high debt-to-income ratio of 19.44%. Additionally, the interest rate of 25.82% indicates a higher risk of repayment difficulty. """,1,1.0,1.0,1.0,1.0,1.0
2af9a49b7380cb8ece9588212ea4b171,Claims adjudicator,0.0,1.0,"""I am moderately confident in this decision. The decision-maker's explanation highlighted the individual's stable employment, reasonable debt-to-income ratio, and responsible credit management, which indicate a strong likelihood of loan repayment.""",0.0,1.0,"""I am moderately confident in this decision. The decision-maker's explanation highlighted the individual's stable employment, reasonable debt-to-income ratio, and responsible credit management, which indicate a strong likelihood of loan repayment.""",1,0.0,0.0,0.0,0.0,1.0
886dcd3efd4a88a00bd0900b0a900824,Welder,1.0,5.0,"""Considering these factors, the person is likely to pay the loan, especially if they are utilizing it for debt consolidation to streamline their repayments""",0.0,5.0,"""Furthermore, with a loan amount of $20,000 and a total credit limit of $555,154, the individual has a significant amount of available credit, indicating their ability to handle larger financial obligations""",1,1.0,0.0,1.0,0.0,1.0
b38c16bccb07cd808a12c84c6398f4e3,Welder,1.0,6.0,"""Additionally, with a total of 76 open credit lines out of 11 total credit lines, it suggests a high level of credit utilization and potential difficulty in managing multiple credit accounts effectively. Lastly, the interest rate of 15.05% on the loan amount of $20,000 may result in higher monthly payments, which could strain their financial situation further.""",1.0,6.0,"""Additionally, with a total of 76 open credit lines out of 11 total credit lines, it suggests a high level of credit utilization and potential difficulty in managing multiple credit accounts effectively. Lastly, the interest rate of 15.05% on the loan amount of $20,000 may result in higher monthly payments, which could strain their financial situation further.""",1,1.0,1.0,1.0,1.0,1.0
c20b7585acff02415ff7a08dc1a23340,Counselor,0.0,4.0,""" While the annual income of $83,000 is relatively decent, the debt-to-income ratio of 10.57% suggests a moderate level of existing debt.""",0.0,5.0,""" While the annual income of $83,000 is relatively decent, the debt-to-income ratio of 10.57% suggests a moderate level of existing debt.""",0,1.0,1.0,0.0,0.0,1.0
3fb8aff27357faf9e2e8cae44af5a26f,Assistant district attorney,0.0,4.0,"""not necessarily indicate an inability to repay""",0.0,4.0,"""Human""",1,0.0,0.0,1.0,1.0,0.0
20c8688e689a6923144e7d1d2bd1b198,Welder,0.0,3.0,"""Furthermore, with a loan amount of $20,000 and a total credit limit of $555,154, the individual has a significant amount of available credit, indicating their ability to handle larger financial obligations. Considering these factors, the person is likely to pay the loan, especially if they are utilizing it for debt consolidation to streamline their repayments.""",0.0,3.0,"""Furthermore, with a loan amount of $20,000 and a total credit limit of $555,154, the individual has a significant amount of available credit, indicating their ability to handle larger financial obligations. Considering these factors, the person is likely to pay the loan, especially if they are utilizing it for debt consolidation to streamline their repayments.""",1,0.0,0.0,0.0,0.0,1.0
40794efb4a5333c7891f667a6ea00488,Driver,0.0,4.0,"""tability and a consistent income source""",0.0,4.0,"""tability and a consistent income source""",1,0.0,0.0,1.0,1.0,0.0
19d4a14880e187323ea768ebfda1b780,Driver,0.0,3.0,"""Greetings friends, it is highly risky to show figures referring to money""",1.0,4.0,"""Greetings friends, it is highly risky to show figures referring to money""",1,0.0,1.0,1.0,0.0,0.0
e9afcbad03d16bb80413a08fc886bf92,General manager,1.0,6.0,""" high interest rate of 22.9% individual's total credit utilized amounting to $192,017, combined with numerous credit lines and limited available credit potential financial strain and difficulty in managing additional debt""",1.0,6.0,"""potential financial strain and difficulty in managing additional debt""",1,1.0,1.0,0.0,0.0,0.0
061619daa9a20c17f4b9d63e3b10c1a7,Medical assistant,1.0,6.0,"""a lower probability of this person being able to repay the loan. The individual's annual income of $35,000 is relatively low compared to the requested loan amount of $20,000. Additionally, the high interest rate of 20% suggests a higher cost of borrowing, making it more challengin for the borrower to manage repayment.""",1.0,6.0,"""Based on the provided information, I would indicate a lower probability of this person being able to repay the loan. The individual's annual income of $35,000 is relatively low compared to the requested loan amount of $20,000. Additionally, the high interest rate of 20% suggests a higher cost of borrowing, making it more challenging for the borrower to manage repayment""",1,1.0,1.0,0.0,0.0,0.0
69e41215954a8cb313ad23f7fbdaa282,Assistant district attorney,1.0,1.0,"""Based on the provided information, I would assign a high probability of the ability to repay the loan""",1.0,1.0,""" Although the interest rate of 19.03% is relatively high, it does not necessarily indicate an inability to repay""",1,1.0,1.0,0.0,0.0,0.0
be85f2928df1008813594edfa4b5fda2,Medical assistant,0.0,4.0,""" indicate some stability and creditworthiness""",0.0,4.0,""" indicate some stability and creditworthiness""",1,0.0,0.0,1.0,1.0,0.0
d7b7f11ee70264bf8fd0d5dc7815d6ad,Driver,1.0,6.0,"""Based on the provided information, several factors contribute to the assessment of the borrower's ability to repay the loan. Firstly, the borrower's annual income of $27,000 is relatively low compared to the loan amount of $20,000, indicating potential financial strain. Secondly, the interest rate of 21.45% is relatively high, which increases the overall cost of borrowing.""",,3.0,"""Based on the provided information, several factors contribute to the assessment of the borrower's ability to repay the loan. Firstly, the borrower's annual income of $27,000 is relatively low compared to the loan amount of $20,000, indicating potential financial strain. Secondly, the interest rate of 21.45% is relatively high, which increases the overall cost of borrowing. Additionally, the borrower's debt-to-income ratio of 5.11 suggests a relatively high level of existing debt compared to their income. Lastly, the borrower has a limited credit history with only one open credit line and a significant portion of their available credit already utilized. These factors collectively indicate a higher risk and imply a lower probability of repayment.""",1,1.0,0.0,0.0,0.0,0.0
ce6a3f63c047b5cbf00de6d77a2d0660,General manager,0.0,1.0,"""good financial management skills""",0.0,2.0,"""Human""",1,0.0,0.0,1.0,1.0,0.0
9d6c0006b436c25a303f0e6e129d12ba,Service technician,1.0,5.0,"""The information provided is fully consistent with the stated risks.""",0.0,6.0,"""The information provided is fully consistent with the stated risks""",1,1.0,0.0,1.0,0.0,1.0
c8f6d558a808777c49c35192f91ffb4a,Service technician,0.0,6.0,"""A good credit history ensures timely loan repayment. I think that a person with such an annual salary can be with a loan""",0.0,6.0,"""A good credit history ensures timely loan repayment. I think that a person with such an annual salary can be with a loan""",1,0.0,0.0,0.0,0.0,1.0
95fa4b75e12315892f3c6d762b89e5d5,Operational risk manager,1.0,5.0,"""The high debt-to-income ratio of 9.53 suggests that they already have significant debt obligations relative to their income. The relatively high interest rate of 26.77% on the loan amount of $5,000 may result in increased monthly payments that could strain their financial situation.""",0.0,5.0,"""While Decision-maker 2 is described as a \""human,\"" which might suggest a higher level of expertise or intuition, it is important to note that their decision was not based on specific reasoning or factors related to the loan profile. Decision-maker 1, represented by \""Al,\"" provided a detailed analysis of the loan profile, considering factors such as employment history, income, debt-to-income ratio, and credit utilization""",0,0.0,1.0,1.0,0.0,1.0
f8354ebdb9eb88b48c0b388b8f959993,Operational risk manager,0.0,2.0,"""maker 1: Low  Based on the provided loan data profile, the individual has a stable employment history as an operational risk manager for 10 years, indicating a reliable and consistent source of income. Their annual income of $210,000 demonstrates a high earning capacity, increasing the likelihood of timely loan repayments. With a debt-to-income ratio of 9.53, the individual's current debt obligations are relatively low compared to their income, indicating a manageable financial situation. Furthermore, the loan amount of $5,000 is relatively small compared to their total credit limit of $322,046, suggesting that the individual has a strong credit profile and is capable of managing their existing credit lines effectively. Considering these factors, the person is expected to pay the loan on time.""",1.0,1.0,"""The high debt-to-income ratio of 9.53 suggests that they already have significant debt obligations relative to their income. Additionally, a total credit utilization of $73,705 out of a total credit limit of $322,046 indicates a substantial amount of their available credit is already being utilized. Furthermore, the relatively high interest rate of 26.77% on the loan amount of $5,000 may result in increased monthly payments that could strain their financial situation. Considering these factors, there is a possibility that the person may face challenges in paying off the loan.""",0,1.0,0.0,0.0,1.0,1.0
acc78d5fb3575c0e4436abdd4ad25f54,Operational risk manager,1.0,4.0,"""Their annual income of $210,000 demonstrates a high earning capacity, increasing the likelihood of timely loan repayments.""",1.0,4.0,""" Furthermore, the relatively high interest rate of 26.77% on the loan amount of $5,000 may result in increased monthly payments that could strain their financial situation. """,0,0.0,0.0,1.0,1.0,1.0
36833a7957de8617cb2d4a1228ea078c,Service technician,0.0,1.0,"""Based on the given information, the individual has a stable employment history with 10 years of experience as a service technician. Their annual income of $50,000 suggests a reasonable ability to make loan payments.""",1.0,5.0,"""Based on the given information, the individual's debt-to-income ratio is 59.29%, which suggests a significant portion of their income is already allocated towards debt payments. Additionally, the loan purpose being debt consolidation indicates that they may already have existing debt obligations.""",1,0.0,1.0,0.0,1.0,1.0
be85f2928df1008813594edfa4b5fda2,Counselor,0.0,4.0,"""healthy financial standing""",0.0,4.0,"""healthy financial standing""",0,1.0,1.0,0.0,0.0,1.0
e080c4550f2194cd28040d3a0bd7066b,Project manager,0.0,4.0,"""With an annual income of $64,000, the borrower's earnings appear to be sufficient to cover the loan repayment. """,0.0,4.0,"""With an annual income of $64,000, the borrower's earnings appear to be sufficient to cover the loan repayment. """,0,1.0,1.0,1.0,1.0,0.0
3bff8ff247b183747777b1650b6fb6e5,Project manager,1.0,5.0,"""interest rate of 9.93% is relatively high,""",1.0,6.0,"""interest rate of 9.93% is relatively high""",0,0.0,0.0,0.0,0.0,0.0
5a168bc26679ef88267ebf61b855b645,Medical assistant,0.0,6.0,"""While the interest rate of 20% is high, the borrower's four years of employment and eight total credit lines indicate some stability and creditworthiness.""",0.0,,"""While the interest rate of 20% is high, the borrower's four years of employment and eight total credit lines indicate some stability and creditworthiness.""",1,0.0,0.0,1.0,1.0,0.0
